branch,target_nm,radius_nm,environment_charge_e,effective_enclosed_charge_e,water_charge_e,ion_charge_e,ligand_charge_e
probe_1p0nm,1.000000,2.430000,-0.695812737,0.304187263,-0.107586851,-0.623762376,0.035536490
probe_1p0nm,1.000000,2.450000,-1.258492050,-0.258492050,-0.585003505,-0.693069307,0.019580762
probe_1p0nm,1.000000,2.470000,-0.798406955,0.201593045,-0.094138495,-0.732673267,0.028404807
probe_1p0nm,1.000000,2.490000,-0.736361156,0.263638844,0.040345069,-0.792079208,0.015372982
probe_1p5nm,1.500000,0.010000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.030000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.050000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.070000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.090000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.110000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.130000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.150000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.170000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.190000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.210000,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000
probe_1p5nm,1.500000,0.230000,-0.665693644,0.334306356,-0.665693644,0.000000000,0.000000000
probe_1p5nm,1.500000,0.250000,-4.848132495,-3.848132495,-4.848132495,0.000000000,0.000000000
