branch,target_nm,radius_nm,delta_environment_charge_e,delta_water_charge_e,delta_ion_charge_e,delta_ligand_charge_e
probe_1p0nm,1.0,1.05,-1.4352143960000001,-1.593630237,0.158415842,0.0
probe_1p0nm,1.0,1.07,-1.533270812,-1.721389624,0.188118812,0.0
probe_1p0nm,1.0,1.09,-0.30629356399999996,-0.5043133670000002,0.198019802,0.0
probe_1p0nm,1.0,1.11,0.15057999999999994,-0.06724178199999997,0.21782178200000002,0.0
probe_1p0nm,1.0,1.13,0.5370349699999999,0.309312198,0.22772277200000002,0.0
probe_1p0nm,1.0,1.15,0.5872810289999999,0.34965726699999994,0.23762376200000002,0.0
probe_1p0nm,1.0,1.17,-0.555458712,-0.773280495,0.21782178200000002,0.0
probe_1p0nm,1.0,1.19,-0.05555747700000002,-0.295863842,0.237623763,0.002682603
probe_1p0nm,1.0,1.21,0.3772379440000001,0.19500116899999997,0.17821782200000003,0.004018953
probe_1p0nm,1.0,1.23,0.06535407599999998,-0.14793192100000002,0.20792079200000002,0.005365205
probe_1p0nm,1.0,1.25,-0.9663552419999999,-1.1700070100000002,0.19801980199999997,0.005631966
probe_1p0nm,1.0,1.27,-1.5293808629999999,-1.714665445,0.17821782199999997,0.007066761
probe_1p0nm,1.0,1.29,-1.023585279,-1.12966194,0.09900990099999996,0.007066761
probe_1p0nm,1.0,1.31,0.26128046100000013,0.12775938600000003,0.12871287199999998,0.004808204
probe_1p0nm,1.0,1.33,-0.45976050700000004,-0.585003504,0.11881188099999995,0.006431117
probe_1p0nm,1.0,1.35,0.598755568,0.463968297,0.12871287199999998,0.006074399
probe_1p0nm,1.0,1.37,1.1752241959999998,1.001902554,0.16831683099999994,0.005004809
probe_1p0nm,1.0,1.39,0.759782272,0.598451861,0.15841584200000003,0.002914569
probe_1p0nm,1.0,1.41,0.934407313,0.706038713,0.22772277200000002,0.000645827
probe_1p0nm,1.0,1.43,0.325199598,0.09413849499999993,0.22772277200000002,0.003338331
probe_1p0nm,1.0,1.45,-0.8344051320000001,-1.089316871,0.24752475300000004,0.007386987
probe_1p0nm,1.0,1.47,-0.8010353670000001,-1.116213584,0.306930694,0.008247525
probe_1p0nm,1.0,1.49,-0.7958743699999999,-1.143110297,0.336633664,0.010602263
probe_1p0nm,1.0,1.51,0.13213523299999985,-0.23534623799999999,0.356435644,0.011045827
probe_1p0nm,1.0,1.53,-0.824251296,-1.270869683,0.435643564,0.010974823
probe_1p0nm,1.0,1.55,-2.2014902999999997,-2.64260204,0.425742574,0.015369165
probe_1p0nm,1.0,1.57,-0.970016048,-1.4053532469999999,0.415841584,0.019495615
probe_1p0nm,1.0,1.59,0.584056407,0.134483565,0.425742575,0.023830269
probe_1p0nm,1.0,1.61,0.940334427,0.40345069299999997,0.504950495,0.031933239
probe_1p0nm,1.0,1.63,1.1112030400000001,0.504313366,0.574257426,0.032632249
probe_1p0nm,1.0,1.65,-0.2766161269999998,-0.8943157030000001,0.584158416,0.03354116
probe_1p0nm,1.0,1.67,-0.37409613099999994,-1.048971802,0.643564357,0.031311315
