z_nm,rho_mean_e_per_nm3,rho_2ns_block_sd_e_per_nm3,phi_mean_mV_relative_to_bulk,phi_2ns_block_sd_mV,E_mean_V_per_m,exponential_fit_mV
9.350000000000001421e+00,9.161037150527920336e-02,1.257914427588378292e-01,7.063815431249398813e+00,2.825252031006785955e+02,2.814159424422426522e+07,-7.462391342134863237e+01
9.449999999999999289e+00,-7.729145167461804605e-03,1.315115235328654653e-01,4.550521506880844669e-01,2.799022048114103427e+02,1.040336713670026660e+08,-7.483582271905217453e+01
9.550000000000000711e+00,-1.984400111734994920e-02,9.409150561720774908e-02,-8.700965945157069115e+00,2.786869278295948220e+02,7.908669054989992082e+07,-7.504353593152256963e+01
9.650000000000002132e+00,-1.822394273269127563e-01,1.781149797908514187e-01,-7.467821148402609133e+00,2.795521285863862886e+02,-1.037495864849896431e+08,-7.524713614681434137e+01
9.750000000000000000e+00,1.043783883462796741e-01,2.477555658756600832e-01,6.429401201499707064e+00,2.751276228760868889e+02,-1.741948605130566955e+08,-7.544670480772829535e+01
9.850000000000001421e+00,9.380797726068750009e-02,2.646761800780376706e-01,1.488336802997425323e+01,2.632674499563333370e+02,5.115523943566992879e+06,-7.564232174438976131e+01
9.949999999999999289e+00,-1.238647122855629779e-01,1.400990344805906895e-01,1.573151681796558421e+01,2.605706892062144107e+02,-2.207849970339484513e+07,-7.583406520618166269e+01
1.005000000000000071e+01,4.871792559648292775e-03,1.611403823657102108e-01,2.332234712560632417e+01,2.669146777317853889e+02,-1.297381064494193643e+08,-7.602201189304533102e+01
1.015000000000000213e+01,8.835237111606114579e-02,1.773489836756684535e-01,3.207889979264854929e+01,2.708524728622033422e+02,-4.539294689142489433e+07,-7.620623698616149966e+01
1.025000000000000000e+01,3.671781627038846196e-02,1.514587685333269873e-01,3.096029180124004654e+01,2.681652080854146902e+02,6.776510671959431469e+07,-7.638681417802375506e+01
1.035000000000000142e+01,-1.167564346316988209e-02,1.087846035770662634e-01,2.305092781216688991e+01,2.648000175003456320e+02,9.042217306187006831e+07,-7.656381570191662433e+01
1.044999999999999929e+01,-1.094773515358935800e-01,1.448752739789669064e-01,1.948940794064479931e+01,2.642597841542503261e+02,-1.919177563142886758e+07,-7.673731236080969609e+01
1.055000000000000071e+01,1.581618433178137717e-01,1.710223469432486099e-01,1.920620520589078239e+01,2.648905087560296465e+02,2.485583032650873065e+07,-7.690737355567982547e+01
1.065000000000000213e+01,-1.879418222350214829e-01,1.436362181822974649e-01,1.806780351248104921e+01,2.691776846050498193e+02,-2.087796458314567804e+06,-7.707406731327249361e+01
1.075000000000000000e+01,1.001384720438183440e-01,2.186342591681805780e-01,2.224861534911087801e+01,2.703720978497971714e+02,-8.152844027428212762e+07,-7.723746031331332063e+01
1.085000000000000142e+01,2.431506780738840190e-02,1.225698695720111031e-01,2.477145248646795039e+01,2.657845139720091652e+02,3.107169752714044601e+07,-7.739761791518098732e+01
1.094999999999999929e+01,7.099038315512566644e-02,1.523078574417508768e-01,1.735287185527029052e+01,2.596585367538982041e+02,1.172999150968133062e+08,-7.755460418405165512e+01
1.105000000000000071e+01,-7.829361552724109496e-02,3.025674228755456663e-01,5.953262660338354273e+00,2.585021008719660358e+02,1.106922688018249869e+08,-7.770848191652603987e+01
1.115000000000000213e+01,-2.577323754359423305e-02,3.093980617669381816e-01,-4.082066059000188929e-01,2.628731491336335466e+02,1.653711652294158190e+07,-7.785931266574890230e+01
1.125000000000000000e+01,4.386088652353240663e-03,2.933795788899038470e-01,-1.094410256729294595e+00,2.605401081479151912e+02,-2.813043506354902871e+06,-7.800715676603101656e+01
1.135000000000000142e+01,5.808172797042357449e-02,2.399209100028562858e-01,-3.639013778336031013e+00,2.578361406974445345e+02,5.370511393848906457e+07,-7.815207335698376312e+01
1.144999999999999929e+01,-5.198018679357447464e-02,1.393494759386167403e-01,-9.285545596407374092e+00,2.613666497967760165e+02,5.922552242293764651e+07,-7.829412040717578236e+01
1.155000000000000071e+01,-1.407909007812621800e-02,1.168633496790113802e-01,-1.221972013256722533e+01,2.644105043196952352e+02,-5.420316997400633991e+05,-7.843335473732115304e+01
1.165000000000000213e+01,1.525933053024484676e-01,1.149450961919220721e-01,-1.843159816058953382e+01,2.673351091806738395e+02,1.247795922601858974e+08,-7.856983204300840384e+01
1.175000000000000000e+01,-2.517830434521822203e-01,9.414480418485332569e-02,-2.642242982177545230e+01,2.713614939506344399e+02,3.503704096353226900e+07,-7.870360691697950983e+01
