u_fraction,v_fraction,rotation_deg,best_height_A,best_LJ_kJmol,best_Coulomb_kJmol,best_total_kJmol
0.8,0.4,0.0,3.2999999999999994,-99.81791780986285,-0.006243518130502945,-99.82416132799335
0.8,0.4,15.0,3.2999999999999994,-99.84442365105592,-0.04451475642538183,-99.8889384074813
0.8,0.4,30.0,3.2999999999999994,-100.0791168001604,-0.054168033906163426,-100.13328483406657
0.8,0.4,45.0,3.2999999999999994,-99.87630079091096,-0.05591772580836851,-99.93221851671933
0.8,0.4,60.0,3.2999999999999994,-99.83348975319048,-0.011200009613344886,-99.84468976280382
0.8,0.6000000000000001,0.0,3.2999999999999994,-99.87713995578288,-0.028391481322926904,-99.90553143710581
0.8,0.6000000000000001,15.0,3.2999999999999994,-100.08786529426584,-0.08013584486264369,-100.16800113912848
0.8,0.6000000000000001,30.0,3.2999999999999994,-100.59257479133264,-0.048519868847509695,-100.64109466018014
0.8,0.6000000000000001,45.0,3.2999999999999994,-100.11824557923629,-0.09192252362838671,-100.21016810286467
0.8,0.6000000000000001,60.0,3.2999999999999994,-99.89289998514346,-0.032842940378118524,-99.92574292552158
0.8,0.8,0.0,3.2999999999999994,-99.97972780648024,-0.06423537234428833,-100.04396317882453
0.8,0.8,15.0,3.2999999999999994,-100.1506768561695,-0.08008934716171501,-100.23076620333121
0.8,0.8,30.0,3.2999999999999994,-100.40513732612837,-0.0361869217577655,-100.44132424788613
0.8,0.8,45.0,3.2999999999999994,-100.1038226226789,-0.06578204048078495,-100.16960466315969
0.8,0.8,60.0,3.2999999999999994,-99.9617734837967,-0.05803004297313441,-100.01980352676983
