time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
359.000,0.34384380,0.48986392,-0.47017242,-0.13749385,15.82717038,2.536130
360.000,0.32784730,0.46775486,-0.44537248,-0.14296141,15.85256587,4.699780
361.000,0.35502180,0.44271314,-0.41859837,-0.14411916,15.87936501,5.101848
362.000,0.34891482,0.43520018,-0.41657468,-0.12595528,15.89764126,5.281309
363.000,0.36419619,0.46550149,-0.43768623,-0.15850048,15.93643414,5.218080
364.000,0.32475544,0.56995130,-0.54068475,-0.18028998,16.04171224,2.328601
365.000,0.32133344,0.61033987,-0.55346132,-0.25728451,16.11975965,3.656556
366.000,0.34248051,0.57964132,-0.53621971,-0.22011924,16.16072952,5.255795
367.000,0.32984613,0.60863249,-0.56416130,-0.22837585,16.18986548,3.448612
368.000,0.32956959,0.58568049,-0.55240479,-0.19460367,16.22562546,6.432639
369.000,0.32616469,0.57335663,-0.53539531,-0.20515770,16.24564320,4.295460
370.000,0.35543826,0.56211558,-0.49593948,-0.26460907,16.31699605,2.479229
371.000,0.35014371,0.57250212,-0.49079864,-0.29474629,16.34756859,5.916821
372.000,0.34220277,0.54796248,-0.43200796,-0.33709346,16.42002289,4.750359
373.000,0.34091505,0.50825524,-0.44530611,-0.24500175,16.51306979,1.155044
374.000,0.32426371,0.49522073,-0.43212312,-0.24189498,16.52661391,3.909010
375.000,0.32306879,0.44021083,-0.38639688,-0.21090999,16.58184939,1.501547
376.000,0.34504353,0.50418965,-0.45764925,-0.21157590,16.65310488,1.899810
377.000,0.35586215,0.51432072,-0.48184703,-0.17985895,16.69299846,9.152638
378.000,0.33533229,0.48573200,-0.45038473,-0.18190430,16.72452717,2.312407
379.000,0.32213407,0.48054654,-0.43819963,-0.19724619,16.74411927,3.698617
380.000,0.33883113,0.33829113,-0.33731808,-0.02563977,16.94318170,3.111749
381.000,0.34409865,0.41914772,-0.40897935,-0.09176440,17.04068967,1.691076
382.000,0.31976966,0.43768661,-0.43300689,-0.06383264,17.07753401,5.591456
383.000,0.33530538,0.42571017,-0.42111742,-0.06236397,17.08951385,4.940425
384.000,0.32188464,0.53378614,-0.50674728,-0.16773443,17.22529089,8.750125
385.000,0.33824530,0.39651691,-0.39494756,-0.03524320,17.39864920,4.291674
386.000,0.33165098,0.44769871,-0.44769818,-0.00068638,17.46171109,3.117155
387.000,0.34874322,0.47852929,-0.47805525,0.02129457,17.49919060,2.626070
388.000,0.33313231,0.55047427,-0.54957384,-0.03147247,17.58806843,3.397478
389.000,0.30902758,0.48830866,-0.47705299,-0.10423912,17.69080235,2.232831
390.000,0.32414521,0.33652238,-0.33432021,-0.03843584,17.84797334,2.034228
391.000,0.31080829,0.31752142,-0.31311811,-0.05269629,17.87352503,4.398771
392.000,0.32375812,0.32756255,-0.31768333,-0.07984066,17.90105062,0.923021
393.000,0.30925967,0.35076607,-0.34480211,-0.06440763,17.93225329,2.811742
394.000,0.32404757,0.29893006,-0.29503949,-0.04807160,17.98462870,6.820845
395.000,0.35076795,0.30797242,-0.29254034,-0.09626609,18.03288795,2.404931
396.000,0.31978267,0.30356545,-0.30023243,-0.04486051,18.08486585,6.550745
397.000,0.30377839,0.37226549,-0.36373310,-0.07924535,18.15707840,4.335805
398.000,0.33074686,0.37254041,-0.35131722,-0.12394582,18.20347114,6.867842
399.000,0.33052000,0.33094717,-0.32197416,-0.07654192,18.25922187,4.056517
400.000,0.33125802,0.33368286,-0.32696201,-0.06663407,18.27031440,3.610536
401.000,0.34614663,0.29436538,-0.27220559,-0.11204952,18.34145390,6.227653
402.000,0.31314369,0.31693031,-0.31609653,-0.02297404,18.44075574,2.413056
403.000,0.33490267,0.28337386,-0.28316126,-0.01097476,18.47580875,4.248099
404.000,0.32914662,0.23809788,-0.23282873,-0.04981347,18.53938398,2.977232
405.000,0.32708933,0.29148363,-0.28599828,0.05628223,18.65805706,3.214489
406.000,0.31969098,0.16750121,-0.14882494,0.07686218,18.79676560,3.322250
407.000,0.31404805,0.23488793,-0.20901814,0.10716230,18.86415491,4.097681
408.000,0.33434804,0.25008028,-0.24313364,0.05853359,18.92355709,4.949577
409.000,0.33580371,0.26020697,-0.25795271,-0.03417704,19.01744460,1.720105
410.000,0.34054400,0.39645854,-0.39645779,-0.00077586,19.15992020,5.781300
